age,age_group,screen_time_hours,screen_time_bucket,work_screen_hours,leisure_screen_hours,work_screen_ratio,work_leisure_ratio,is_outlier_screen_time,productivity_0_100,productivity_bucket,pred_productivity_reg,confidence_reg,pred_productivity_class,confidence_class,mental_wellness_index_0_100,sleep_hours,cluster_profile,missing_count
33,25-34,10.79,high,5.44,5.35,0.5041705282669139,1.0168224299065423,False,44.7,low,45.581500000000005,6.646623785802834,low,0.7625,9.3,6.63,0,0
28,25-34,7.4,low,0.37,7.03,0.049999999999999996,0.05263157894736842,False,78.0,high,77.85374999999996,4.855449097405925,high,0.9325,56.2,8.05,1,0
35,35-44,9.78,medium,1.09,8.69,0.11145194274028632,0.12543153049482164,False,51.8,medium,48.96399999999974,5.019313100415233,low,0.5725,3.6,6.48,2,0
42,35-44,11.13,high,0.56,10.57,0.050314465408805034,0.05298013245033113,False,37.0,low,40.925499999999985,6.603771630666826,low,0.8225,0.0,6.89,2,0
28,25-34,13.22,high,4.09,9.13,0.30937972768532523,0.44797371303395395,False,38.5,low,37.77375000000002,4.18030931122327,low,0.92,0.0,5.79,2,0
28,25-34,9.83,medium,0.53,9.3,0.05391658189216684,0.05698924731182795,False,44.0,low,45.39524999999993,7.071577082765911,low,0.88,5.0,7.19,2,0
42,35-44,6.02,low,2.82,3.2,0.4684385382059801,0.8812499999999999,False,64.8,high,66.5864999999996,5.361218867944103,high,0.79,43.7,7.44,1,0
36,35-44,6.21,low,0.75,5.46,0.12077294685990338,0.13736263736263737,False,87.0,high,82.19800000000004,6.635009118305716,high,0.955,54.3,6.78,1,0
34,25-34,9.37,medium,0.84,8.53,0.0896478121664888,0.09847596717467762,False,42.2,low,45.42175000000022,4.860185380980866,low,0.765,10.7,7.78,2,0
26,25-34,9.87,medium,3.02,6.85,0.3059777102330294,0.4408759124087592,False,55.9,medium,52.61849999999993,4.457365561629422,medium,0.8975,21.8,6.4,0,0
16,<18,7.86,low,4.33,3.53,0.5508905852417303,1.226628895184136,False,70.7,high,69.14775000000024,4.258872496036943,high,0.935,40.9,7.59,0,0
16,<18,9.07,medium,0.79,8.28,0.08710033076074973,0.09541062801932368,False,53.2,medium,52.15750000000028,4.117595627304848,low,0.395,10.7,5.54,2,0
25,25-34,13.49,high,2.82,10.67,0.2090437361008154,0.2642924086223055,False,37.6,low,36.89975000000016,4.140202282195877,low,0.975,0.0,7.13,2,0
21,18-24,8.86,medium,0.82,8.04,0.09255079006772009,0.10199004975124379,False,60.3,high,56.04449999999972,5.966805657133477,high,0.6375,10.5,6.53,2,0
32,25-34,7.13,low,0.82,6.31,0.1150070126227209,0.12995245641838352,False,49.0,medium,53.83425000000002,7.191776688517246,medium,0.7425,29.5,7.06,1,0
22,18-24,8.18,medium,0.7,7.48,0.08557457212713936,0.09358288770053474,False,85.1,high,81.32675000000016,5.039604095313441,high,0.9425,68.9,9.2,1,0
18,18-24,10.26,high,5.73,4.53,0.5584795321637428,1.2649006622516556,False,52.0,medium,52.119749999999996,3.674198543560225,medium,0.705,10.8,6.98,0,0
41,35-44,10.14,high,3.29,6.85,0.3244575936883629,0.48029197080291974,False,48.1,medium,45.797250000000034,3.8083286934690967,medium,0.62,0.0,6.68,0,0
28,25-34,7.52,low,2.89,4.63,0.3843085106382979,0.6241900647948164,False,53.1,medium,53.33224999999986,3.1232250859488127,medium,0.9025,18.2,5.49,1,0
30,25-34,7.67,low,1.65,6.02,0.2151238591916558,0.27408637873754155,False,76.4,high,78.01100000000032,3.997903075363375,high,0.945,53.5,8.36,1,0
18,18-24,5.74,low,2.33,3.41,0.4059233449477352,0.6832844574780058,False,77.3,high,76.89824999999965,2.7961262377618015,high,0.9325,48.7,6.34,1,0
25,25-34,8.93,medium,0.45,8.48,0.0503919372900336,0.05306603773584906,False,50.3,medium,48.19299999999975,3.9299237906096893,medium,0.7775,0.7,6.21,2,0
30,25-34,7.05,low,0.8,6.25,0.11347517730496455,0.128,False,51.0,medium,45.923999999999936,5.400872522102328,medium,0.885,1.8,7.08,1,0
20,18-24,11.3,high,5.17,6.13,0.45752212389380525,0.8433931484502447,False,53.3,medium,48.947499999999756,9.085964106796789,medium,0.7275,4.6,7.74,0,0
33,25-34,6.61,low,0.33,6.28,0.049924357034795766,0.052547770700636945,False,60.0,high,64.25200000000001,6.0641813957037805,high,0.97,42.8,8.06,1,0
25,25-34,7.43,low,0.73,6.7,0.09825033647375504,0.10895522388059702,False,61.1,high,59.045500000000004,6.559800282783006,high,0.785,28.9,7.11,1,0
27,25-34,9.57,medium,0.48,9.09,0.050156739811912224,0.052805280528052806,False,38.0,low,40.39274999999995,4.372862041901166,low,0.675,0.9,7.18,2,0
25,25-34,6.37,low,0.78,5.59,0.12244897959183673,0.13953488372093023,False,52.1,medium,52.36874999999992,3.829236012248398,medium,0.4425,11.1,6.91,1,0
29,25-34,6.89,low,1.25,5.64,0.181422351233672,0.22163120567375888,False,60.3,high,58.03924999999968,4.408421989499197,high,0.7225,17.2,7.42,1,0
21,18-24,11.38,high,0.57,10.81,0.050087873462214404,0.05272895467160036,False,57.0,medium,50.21424999999997,9.575550738077693,medium,0.7025,2.4,7.38,2,0
36,35-44,13.05,high,0.65,12.4,0.04980842911877394,0.05241935483870968,False,39.6,low,37.47325,7.846407422349419,low,0.905,0.0,7.28,2,0
20,18-24,7.47,low,3.01,4.46,0.40294511378848724,0.6748878923766816,False,53.6,medium,53.2327499999999,3.7625460047021497,medium,0.845,14.8,7.57,1,0
31,25-34,9.93,medium,1.89,8.04,0.1903323262839879,0.23507462686567165,False,45.7,low,44.88125000000022,3.9923769157608304,low,0.9325,2.2,6.63,2,0
16,<18,8.08,medium,1.25,6.83,0.1547029702970297,0.18301610541727673,False,68.1,high,77.12100000000011,3.8044656655041518,high,0.94,57.6,7.64,1,0
19,18-24,7.88,medium,0.39,7.49,0.04949238578680203,0.0520694259012016,False,49.8,medium,51.262499999999726,3.6589812448275887,medium,0.8225,17.7,7.03,1,0
31,25-34,8.81,medium,3.92,4.89,0.4449489216799092,0.801635991820041,False,51.6,medium,50.94549999999993,3.660509493226313,medium,0.89,12.5,6.22,0,0
35,35-44,5.65,low,0.36,5.29,0.06371681415929203,0.06805293005671077,False,67.4,high,67.30975000000024,3.3803594390981537,high,0.9725,35.2,7.28,1,0
31,25-34,9.31,medium,0.65,8.66,0.06981740064446831,0.07505773672055427,False,51.7,medium,57.229000000000276,8.925682550931354,medium,0.6975,30.4,7.08,2,0
29,25-34,7.72,low,5.52,2.2,0.7150259067357513,2.509090909090909,False,77.7,high,79.47550000000028,3.731943160070899,high,0.89,62.2,7.96,0,0
27,25-34,11.81,high,4.64,7.17,0.392887383573243,0.6471408647140864,False,37.6,low,39.189000000000064,4.841614296905522,low,0.9575,0.0,6.45,0,0
18,18-24,6.71,low,0.74,5.97,0.11028315946348734,0.12395309882747069,False,58.8,high,58.08724999999967,2.150619082380694,medium,0.585,23.3,6.31,1,0
24,18-24,6.1,low,1.57,4.53,0.2573770491803279,0.3465783664459161,False,79.6,high,77.83349999999969,3.638052741508844,high,0.97,53.0,7.47,1,0
26,25-34,7.46,low,1.45,6.01,0.19436997319034852,0.24126455906821964,False,49.2,medium,54.31124999999991,3.1476337838922737,medium,0.89,23.7,7.33,1,0
32,25-34,9.93,medium,3.77,6.16,0.3796576032225579,0.612012987012987,False,52.8,medium,51.980999999999796,2.8962888322817495,medium,0.87,18.5,7.67,0,0
16,<18,13.29,high,0.99,12.3,0.0744920993227991,0.08048780487804877,False,27.1,low,31.14825000000013,6.855118302225002,low,0.91,0.0,7.08,2,0
32,25-34,6.77,low,0.36,6.41,0.053175775480059084,0.05616224648985959,False,56.8,medium,59.23300000000003,7.051447440065051,high,0.6275,27.3,6.93,1,0
26,25-34,10.25,high,5.59,4.66,0.5453658536585366,1.1995708154506437,False,38.5,low,38.51150000000001,7.142668811445763,low,0.6725,0.3,6.33,0,0
24,18-24,8.75,medium,1.6,7.15,0.18285714285714286,0.22377622377622378,False,44.9,low,44.65374999999994,2.1593021876291454,low,0.82,0.0,6.2,1,0
34,25-34,10.13,high,0.51,9.62,0.05034550839091806,0.05301455301455302,False,44.8,low,43.856999999999786,3.1960836972770204,low,0.95,1.5,7.48,2,0
38,35-44,9.47,medium,2.4,7.07,0.25343189017951423,0.3394625176803394,False,60.0,high,60.365500000000004,4.38324762590481,high,0.815,34.4,8.22,2,0
37,35-44,7.57,low,0.42,7.15,0.05548216644649934,0.05874125874125874,False,51.7,medium,55.526500000000226,6.8954222314518265,high,0.52,27.4,7.08,1,0
23,18-24,6.76,low,0.55,6.21,0.08136094674556214,0.08856682769726248,False,74.0,high,71.58924999999996,4.6259009325211515,high,0.975,39.1,7.12,1,0
27,25-34,7.82,low,2.5,5.32,0.319693094629156,0.4699248120300752,False,81.0,high,76.54424999999995,6.770123110955966,high,0.955,44.1,8.37,1,0
32,25-34,11.49,high,1.1,10.39,0.09573542210617929,0.10587102983638114,False,67.8,high,63.332249999999675,7.3434143923313995,high,0.795,29.9,7.1,2,0
37,35-44,8.89,medium,1.91,6.98,0.21484814398200222,0.2736389684813753,False,40.3,low,45.09924999999978,6.680742805818825,low,0.725,19.8,7.49,1,0
26,25-34,10.09,high,0.68,9.41,0.0673934588701685,0.07226354941551541,False,46.3,low,43.074749999999895,6.649844918304483,low,0.935,4.5,5.89,2,0
28,25-34,9.02,medium,2.67,6.35,0.2960088691796009,0.4204724409448819,False,45.8,low,42.70174999999997,4.2504849061607,low,0.8925,2.3,7.57,1,0
21,18-24,11.16,high,1.46,9.7,0.13082437275985662,0.1505154639175258,False,42.2,low,46.55549999999997,6.990527143928408,low,0.875,3.8,5.89,2,0
20,18-24,7.3,low,1.65,5.65,0.22602739726027396,0.29203539823008845,False,51.1,medium,51.22874999999992,3.5472169989302866,medium,0.7875,9.8,6.3,1,0
36,35-44,6.95,low,3.9,3.05,0.5611510791366906,1.278688524590164,False,48.3,medium,46.092999999999776,3.7503267857614686,medium,0.7525,0.0,7.14,0,0
40,35-44,5.5,low,2.5,3.0,0.45454545454545453,0.8333333333333334,False,86.3,high,81.22974999999963,7.105004569843724,high,0.82,60.6,7.21,1,0
29,25-34,11.02,high,1.59,9.43,0.1442831215970962,0.16861081654294804,False,38.0,low,40.65650000000001,4.586328351742809,low,0.9075,13.2,6.56,2,0
38,35-44,8.47,medium,0.94,7.53,0.11097992916174733,0.12483399734395749,False,50.3,medium,50.85374999999972,2.6882961030176666,medium,0.915,18.2,6.06,1,0
